invoice,customer_id,product_id,invoice_date,quantity,amount,region
INV000072,C0321,P014,2024-05-22,18,67662,North
INV000073,C0498,P012,2025-03-15,13,56433,East
INV000074,C0357,P014,2023-06-02,14,52626,East
INV000075,C0193,P006,2024-04-29,18,72504,South
INV000076,C0435,P008,2025-05-28,10,30770,South
INV000077,C0413,P015,2024-07-29,2,5412,West
INV000078,C0496,P014,2024-06-26,18,67662,South
INV000079,C0199,P008,2023-07-28,9,27693,East
INV000080,C0332,P003,2025-05-17,15,72210,East
INV000081,C0048,P018,2023-02-22,7,14609,East
INV000082,C0194,P020,2023-02-10,20,79080,North
INV000083,C0097,P019,2023-08-11,18,60570,West
INV000084,C0107,P011,2023-01-16,10,22270,South
INV000085,C0480,P007,2025-02-03,4,13724,West
INV000086,C0469,P008,2024-12-21,20,61540,South
INV000087,C0204,P008,2023-11-26,18,55386,East
INV000088,C0195,P015,2024-10-26,18,48708,East
INV000089,C0158,P009,2024-06-09,12,38160,West
INV000090,C0239,P004,2025-02-18,16,36864,East
INV000091,C0469,P007,2023-11-17,12,41172,West
INV000092,C0024,P019,2025-01-29,8,26920,South
INV000093,C0009,P009,2024-08-21,18,57240,West
INV000094,C0152,P005,2023-12-04,7,18263,South
INV000095,C0195,P019,2024-05-26,8,26920,East
INV000096,C0132,P016,2024-04-16,16,36160,South
INV000097,C0376,P012,2023-05-24,6,26046,West
INV000098,C0095,P018,2024-06-20,2,4174,North
INV000099,C0430,P003,2025-02-21,2,9628,North
INV000100,C0212,P005,2023-03-11,8,20872,South
INV000101,C0005,P007,2024-04-11,17,58327,East
INV000102,C0031,P020,2024-05-09,20,79080,West
INV000103,C0009,P001,2024-07-18,18,83844,West
INV000104,C0007,P001,2025-01-09,17,79186,East
INV000105,C0275,P010,2024-05-29,1,3902,West
INV000106,C0413,P006,2023-04-09,4,16112,South
INV000107,C0124,P007,2024-06-23,20,68620,East
INV000108,C0418,P012,2025-03-25,9,39069,West
INV000109,C0041,P012,2024-04-15,13,56433,South
INV000110,C0357,P008,2024-12-01,10,30770,North
INV000111,C0335,P002,2024-02-20,3,4716,West
INV000112,C0194,P018,2023-02-27,16,33392,North
INV000113,C0360,P006,2024-05-26,3,12084,West
INV000114,C0331,P011,2025-05-28,19,42313,North
INV000115,C0459,P017,2023-08-24,2,6888,South
INV000116,C0462,P019,2023-10-05,16,53840,North
INV000117,C0474,P003,2024-07-10,9,43326,North
INV000118,C0092,P011,2023-08-01,1,2227,South
INV000119,C0386,P013,2023-11-03,3,7524,South
INV000120,C0289,P008,2025-05-04,19,58463,West
INV000121,C0347,P018,2024-01-29,11,22957,South
INV000122,C0405,P003,2025-02-02,17,81838,East
INV000123,C0028,P004,2023-08-26,14,32256,North
INV000124,C0175,P020,2024-09-01,20,79080,West
INV000125,C0497,P011,2024-10-11,1,2227,East
INV000126,C0402,P015,2023-08-22,16,43296,East
INV000127,C0284,P013,2023-07-10,14,35112,West
INV000128,C0044,P020,2025-03-28,10,39540,South
INV000129,C0366,P003,2023-10-02,3,14442,South
INV000130,C0195,P005,2023-11-21,13,33917,East
INV000131,C0055,P003,2023-11-12,1,4814,West
INV000132,C0185,P009,2023-05-16,4,12720,North
INV000133,C0096,P014,2024-07-24,15,56385,West
INV000134,C0053,P001,2023-12-29,3,13974,North
INV000135,C0306,P020,2025-06-03,11,43494,West
INV000136,C0007,P010,2024-02-02,14,54628,North
INV000137,C0372,P018,2024-08-08,8,16696,South
INV000138,C0351,P013,2023-05-23,6,15048,East
INV000139,C0155,P009,2023-05-30,16,50880,North
INV000140,C0086,P014,2024-03-07,9,33831,East
INV000141,C0248,P003,2023-09-15,12,57768,South
INV000142,C0370,P016,2024-09-23,20,45200,South
INV000143,C0235,P004,2023-11-08,5,11520,North
INV000144,C0486,P013,2025-05-11,11,27588,West
INV000145,C0412,P011,2023-12-09,15,33405,West
INV000146,C0418,P020,2023-11-04,5,19770,East
INV000147,C0309,P007,2023-11-18,16,54896,South
INV000148,C0494,P013,2023-10-26,11,27588,West
INV000149,C0496,P019,2023-11-30,8,26920,West
INV000150,C0144,P013,2023-04-27,12,30096,South
INV000151,C0304,P018,2024-11-29,6,12522,North
INV000152,C0488,P015,2024-03-24,7,18942,East
INV000153,C0426,P003,2024-11-20,14,67396,West
INV000154,C0072,P010,2023-09-16,8,31216,South
INV000155,C0367,P014,2023-03-17,13,48867,West
INV000156,C0307,P016,2024-02-15,19,42940,West
INV000157,C0279,P002,2024-12-19,12,18864,North
INV000158,C0056,P008,2023-06-20,12,36924,North
INV000159,C0289,P013,2025-03-26,11,27588,West
INV000160,C0055,P001,2023-09-22,4,18632,South
INV000161,C0262,P017,2024-08-17,18,61992,South
INV000162,C0229,P012,2024-04-19,13,56433,South
INV000163,C0177,P001,2023-04-18,16,74528,East
INV000164,C0213,P003,2025-05-01,4,19256,South
INV000165,C0179,P010,2024-04-11,11,42922,South
INV000166,C0267,P016,2024-05-02,12,27120,North
INV000167,C0225,P015,2023-03-10,11,29766,East
INV000168,C0023,P004,2025-05-19,1,2304,East
INV000169,C0332,P004,2025-01-28,6,13824,South
INV000170,C0265,P006,2023-06-13,18,72504,East
INV000171,C0287,P014,2023-08-26,15,56385,West
INV000172,C0323,P006,2024-10-17,6,24168,West
INV000173,C0203,P001,2023-07-22,20,93160,West
INV000174,C0304,P014,2023-01-05,13,48867,South
INV000175,C0106,P009,2024-08-14,3,9540,North
INV000176,C0410,P018,2024-01-10,6,12522,East
INV000177,C0101,P015,2023-09-26,4,10824,West
INV000178,C0271,P011,2024-02-02,20,44540,West
INV000179,C0301,P004,2023-12-27,12,27648,West
INV000180,C0317,P006,2024-09-21,10,40280,North
INV000181,C0345,P005,2023-05-01,11,28699,South
INV000182,C0157,P004,2024-01-18,6,13824,South
INV000183,C0262,P013,2024-09-02,14,35112,South
INV000184,C0295,P013,2023-07-10,14,35112,West
INV000185,C0326,P018,2024-07-22,6,12522,South
INV000186,C0251,P010,2023-07-11,5,19510,East
INV000187,C0432,P015,2023-02-24,20,54120,East
INV000188,C0488,P001,2023-05-20,16,74528,South
INV000189,C0418,P013,2024-06-01,18,45144,West
INV000190,C0210,P016,2024-12-28,14,31640,West
INV000191,C0251,P006,2024-08-01,3,12084,North
INV000192,C0408,P008,2023-02-03,10,30770,East
INV000193,C0116,P018,2023-06-22,10,20870,West
INV000194,C0290,P016,2024-06-07,18,40680,North
INV000195,C0294,P004,2025-03-04,9,20736,East
INV000196,C0278,P002,2024-07-13,15,23580,South
INV000197,C0218,P004,2023-11-01,8,18432,North
INV000198,C0231,P009,2025-06-01,12,38160,North
INV000199,C0225,P004,2023-08-03,8,18432,East
INV000200,C0441,P020,2023-06-19,14,55356,South
INV000201,C0402,P007,2025-04-04,7,24017,North
INV000202,C0292,P012,2023-10-15,18,78138,South
INV000203,C0166,P010,2024-08-09,10,39020,East
INV000204,C0488,P017,2023-05-19,4,13776,West
INV000205,C0471,P002,2025-06-06,9,14148,South
INV000206,C0360,P005,2023-05-30,8,20872,East
INV000207,C0425,P008,2024-05-16,13,40001,South
INV000208,C0296,P009,2024-01-20,14,44520,West
INV000209,C0039,P003,2024-06-11,13,62582,East
INV000210,C0356,P012,2024-05-14,15,65115,East
INV000211,C0298,P001,2025-01-18,3,13974,West
INV000212,C0326,P012,2025-03-25,3,13023,West
INV000213,C0112,P014,2024-05-21,7,26313,East
INV000214,C0166,P010,2024-07-14,11,42922,South
INV000215,C0290,P016,2024-11-29,11,24860,North
INV000216,C0024,P004,2023-01-17,15,34560,North
INV000217,C0476,P006,2024-04-12,15,60420,North
INV000218,C0491,P014,2024-12-06,7,26313,South
INV000219,C0452,P010,2025-06-14,6,23412,East
INV000220,C0048,P012,2023-03-26,9,39069,East
INV000221,C0341,P006,2024-02-10,2,8056,East
INV000222,C0372,P008,2024-11-02,14,43078,North
INV000223,C0361,P004,2023-08-07,1,2304,West
INV000224,C0040,P005,2023-08-20,19,49571,West
INV000225,C0005,P001,2025-04-16,11,51238,North
INV000226,C0441,P014,2024-05-04,5,18795,North
INV000227,C0118,P013,2025-01-18,3,7524,North
INV000228,C0053,P011,2023-11-03,12,26724,South
INV000229,C0196,P005,2023-03-12,5,13045,North
INV000230,C0313,P006,2023-12-26,15,60420,South
INV000231,C0322,P005,2024-09-22,14,36526,West
INV000232,C0441,P007,2023-04-13,3,10293,South
INV000233,C0386,P004,2025-01-17,19,43776,West
INV000234,C0180,P014,2025-03-21,11,41349,South
INV000235,C0127,P009,2023-09-12,3,9540,East
INV000236,C0399,P001,2023-07-30,10,46580,South
INV000237,C0383,P013,2024-10-23,10,25080,North
INV000238,C0402,P008,2024-01-31,16,49232,North
INV000239,C0124,P016,2023-03-14,20,45200,North
INV000240,C0185,P011,2024-02-01,5,11135,West
INV000241,C0188,P018,2025-02-20,6,12522,West
INV000242,C0489,P003,2024-08-24,1,4814,North
INV000243,C0008,P009,2023-02-10,7,22260,North
INV000244,C0486,P013,2023-10-21,17,42636,West
INV000245,C0217,P013,2024-10-17,3,7524,South
INV000246,C0143,P003,2023-03-22,10,48140,South
INV000247,C0499,P005,2023-12-01,18,46962,West
INV000248,C0301,P003,2024-12-16,10,48140,West
INV000249,C0374,P008,2023-09-08,2,6154,North
INV000250,C0474,P014,2024-04-09,4,15036,North
INV000251,C0159,P006,2023-01-13,4,16112,South
INV000252,C0360,P001,2024-05-23,6,27948,East
INV000253,C0268,P017,2023-06-20,9,30996,East
INV000254,C0065,P009,2025-02-28,4,12720,North
INV000255,C0172,P014,2024-06-20,9,33831,North
INV000256,C0135,P019,2024-05-23,3,10095,West
INV000257,C0262,P012,2024-05-26,2,8682,South
INV000258,C0189,P006,2025-03-02,9,36252,North
INV000259,C0458,P019,2023-08-22,4,13460,North
INV000260,C0023,P001,2023-02-17,8,37264,West
INV000261,C0187,P013,2023-07-03,5,12540,North
INV000262,C0284,P014,2023-11-26,8,30072,South
INV000263,C0214,P011,2025-04-25,9,20043,North
INV000264,C0293,P012,2024-05-29,4,17364,North
INV000265,C0092,P008,2023-02-17,17,52309,West
INV000266,C0036,P015,2025-03-03,10,27060,East
INV000267,C0168,P003,2024-04-12,18,86652,North
INV000268,C0189,P007,2024-07-31,10,34310,East
INV000269,C0379,P020,2024-04-20,8,31632,East
INV000270,C0303,P016,2025-01-20,7,15820,South
INV000271,C0078,P001,2023-01-25,14,65212,South
INV000272,C0278,P012,2023-12-10,1,4341,North
INV000273,C0389,P013,2023-04-17,10,25080,South
INV000274,C0272,P008,2024-05-18,14,43078,North
INV000275,C0498,P005,2023-04-06,9,23481,North
INV000276,C0472,P008,2024-02-27,17,52309,East
INV000277,C0235,P003,2023-04-08,19,91466,South
INV000278,C0327,P013,2024-08-29,3,7524,North
INV000279,C0223,P005,2023-10-26,8,20872,East
INV000280,C0436,P011,2024-12-18,13,28951,East
INV000281,C0163,P015,2023-08-28,9,24354,North
INV000282,C0484,P007,2025-03-09,5,17155,North
INV000283,C0080,P004,2024-04-05,6,13824,West
INV000284,C0161,P014,2024-07-02,4,15036,East
INV000285,C0494,P007,2023-11-12,15,51465,West
INV000286,C0136,P004,2023-06-11,3,6912,East
INV000287,C0424,P020,2023-08-09,2,7908,East
INV000288,C0076,P003,2023-12-31,8,38512,West
INV000289,C0263,P002,2023-09-24,10,15720,South
INV000290,C0016,P013,2024-07-23,15,37620,South
INV000291,C0049,P015,2025-04-03,4,10824,South
INV000292,C0063,P001,2025-04-30,2,9316,South
INV000293,C0067,P007,2024-01-17,13,44603,North
INV000294,C0299,P019,2025-04-12,9,30285,North
INV000295,C0012,P003,2024-10-23,7,33698,West
INV000296,C0415,P005,2025-05-17,3,7827,East
INV000297,C0063,P002,2023-02-21,15,23580,South
INV000298,C0474,P019,2025-04-21,14,47110,West
INV000299,C0255,P001,2024-11-30,13,60554,West
INV000300,C0089,P012,2023-07-11,7,30387,East
INV000301,C0144,P015,2023-02-05,5,13530,South
INV000302,C0332,P010,2024-02-26,16,62432,West
INV000303,C0032,P003,2024-01-28,9,43326,South
INV000304,C0215,P007,2023-09-13,17,58327,North
INV000305,C0196,P012,2024-07-11,16,69456,West
INV000306,C0177,P019,2023-11-26,17,57205,West
INV000307,C0139,P006,2023-11-23,1,4028,South
INV000308,C0016,P009,2025-04-08,2,6360,West
INV000309,C0272,P012,2023-08-27,19,82479,South
INV000310,C0052,P008,2023-09-30,8,24616,North
INV000311,C0392,P008,2025-05-16,19,58463,West
INV000312,C0182,P006,2023-08-31,6,24168,East
INV000313,C0413,P012,2023-01-29,19,82479,East
INV000314,C0486,P019,2023-05-26,19,63935,South
INV000315,C0429,P016,2023-11-13,18,40680,South
INV000316,C0252,P002,2023-02-27,3,4716,South
INV000317,C0309,P008,2024-06-23,1,3077,West
INV000318,C0001,P011,2023-07-26,20,44540,South
INV000319,C0175,P006,2023-03-02,11,44308,North
INV000320,C0076,P019,2025-03-03,5,16825,North
INV000321,C0434,P017,2023-03-16,12,41328,East
INV000322,C0361,P013,2023-04-14,19,47652,East
INV000323,C0155,P011,2023-06-11,5,11135,West
INV000324,C0406,P016,2023-06-28,11,24860,East
INV000325,C0115,P019,2024-01-23,6,20190,East
INV000326,C0376,P010,2023-07-01,5,19510,North
INV000327,C0486,P019,2025-05-21,13,43745,North
INV000328,C0094,P020,2025-04-08,11,43494,South
INV000329,C0328,P019,2024-05-23,4,13460,South
INV000330,C0170,P003,2023-12-22,8,38512,East
INV000331,C0086,P003,2024-04-02,11,52954,North
INV000332,C0136,P007,2024-12-10,8,27448,North
INV000333,C0180,P009,2025-01-07,4,12720,North
INV000334,C0025,P013,2025-01-20,15,37620,West
INV000335,C0497,P006,2024-05-19,14,56392,West
INV000336,C0180,P018,2023-04-14,13,27131,West
INV000337,C0404,P019,2023-06-16,8,26920,West
INV000338,C0038,P002,2023-01-21,10,15720,East
INV000339,C0134,P004,2023-12-17,3,6912,South
INV000340,C0455,P013,2025-01-19,6,15048,North
INV000341,C0281,P003,2024-08-31,11,52954,West
INV000342,C0361,P001,2024-10-31,14,65212,South
INV000343,C0311,P014,2023-02-24,6,22554,North
INV000344,C0170,P007,2024-02-24,7,24017,East
INV000345,C0339,P010,2023-09-01,10,39020,North
INV000346,C0026,P013,2024-07-16,19,47652,West
INV000347,C0079,P002,2023-01-04,12,18864,West
INV000348,C0045,P010,2024-05-06,20,78040,South
INV000349,C0050,P001,2023-06-24,7,32606,East
INV000350,C0042,P016,2023-11-12,4,9040,West
INV000351,C0242,P016,2023-04-04,9,20340,West
INV000352,C0095,P012,2024-01-14,13,56433,South
INV000353,C0229,P002,2024-03-26,9,14148,West
INV000354,C0135,P008,2024-07-31,9,27693,North
INV000355,C0078,P004,2024-11-15,3,6912,East
INV000356,C0414,P018,2025-02-13,14,29218,South
INV000357,C0284,P002,2025-04-18,13,20436,West
INV000358,C0495,P018,2024-08-09,16,33392,South
INV000359,C0244,P010,2024-02-09,3,11706,North
INV000360,C0258,P019,2025-03-30,17,57205,South
INV000361,C0062,P015,2023-06-21,6,16236,South
INV000362,C0414,P007,2023-02-13,5,17155,West
INV000363,C0041,P014,2025-04-22,7,26313,South
INV000364,C0428,P020,2023-11-24,9,35586,North
INV000365,C0045,P013,2024-02-11,18,45144,East
INV000366,C0439,P009,2024-04-14,17,54060,North
INV000367,C0403,P020,2024-06-19,19,75126,West
INV000368,C0058,P014,2023-06-01,5,18795,North
INV000369,C0474,P004,2025-03-09,19,43776,North
INV000370,C0403,P010,2023-12-19,18,70236,West
INV000371,C0136,P013,2024-08-08,16,40128,West
INV000372,C0020,P006,2024-02-17,9,36252,South
INV000373,C0317,P020,2023-02-09,13,51402,West
INV000374,C0456,P011,2023-02-20,8,17816,West
INV000375,C0472,P009,2023-01-21,12,38160,East
INV000376,C0419,P010,2023-10-15,10,39020,West
INV000377,C0440,P004,2023-05-18,8,18432,East
INV000378,C0499,P015,2023-10-03,11,29766,West
INV000379,C0310,P003,2024-03-28,7,33698,South
INV000380,C0468,P014,2025-02-16,16,60144,East
INV000381,C0421,P002,2025-03-21,17,26724,South
INV000382,C0034,P010,2024-02-18,17,66334,South
INV000383,C0400,P017,2023-01-30,19,65436,South
INV000384,C0099,P007,2023-09-13,2,6862,North
INV000385,C0234,P002,2024-12-22,12,18864,South
INV000386,C0141,P012,2024-06-01,15,65115,West
INV000387,C0326,P004,2023-09-05,1,2304,East
INV000388,C0251,P020,2023-07-01,15,59310,West
INV000389,C0301,P018,2023-12-19,12,25044,South
INV000390,C0429,P009,2023-10-19,3,9540,North
INV000391,C0198,P002,2025-05-24,6,9432,South
INV000392,C0439,P008,2024-11-24,8,24616,South
INV000393,C0138,P014,2023-01-21,17,63903,North
INV000394,C0243,P005,2024-09-07,6,15654,North
INV000395,C0115,P009,2025-04-04,20,63600,East
INV000396,C0365,P009,2024-01-21,14,44520,East
INV000397,C0236,P009,2024-04-22,7,22260,East
INV000398,C0347,P017,2024-02-11,20,68880,North
INV000399,C0004,P017,2024-07-28,12,41328,East
INV000400,C0153,P004,2023-03-07,16,36864,East
INV000401,C0142,P011,2023-09-25,9,20043,East
INV000402,C0097,P005,2025-02-22,17,44353,South
INV000403,C0461,P002,2024-02-18,20,31440,East
INV000404,C0349,P005,2024-11-02,1,2609,West
INV000405,C0152,P009,2024-02-19,14,44520,West
INV000406,C0378,P002,2024-12-26,19,29868,South
INV000407,C0176,P008,2024-10-15,18,55386,West
INV000408,C0465,P012,2023-11-04,17,73797,South
INV000409,C0431,P018,2023-10-28,6,12522,North
INV000410,C0242,P005,2025-01-12,9,23481,South
INV000411,C0485,P011,2023-08-16,3,6681,East
INV000412,C0115,P010,2025-03-18,14,54628,East
INV000413,C0191,P009,2023-10-29,19,60420,West
INV000414,C0436,P004,2023-02-24,16,36864,North
INV000415,C0242,P007,2023-05-03,17,58327,West
INV000416,C0272,P010,2023-02-25,14,54628,South
INV000417,C0071,P007,2024-02-24,11,37741,West
INV000418,C0074,P011,2025-03-08,6,13362,North
INV000419,C0250,P011,2023-11-17,6,13362,North
INV000420,C0003,P015,2023-08-03,9,24354,South
INV000421,C0296,P006,2025-03-15,16,64448,North
INV000422,C0067,P020,2024-10-10,14,55356,West
INV000423,C0207,P014,2024-01-28,16,60144,North
INV000424,C0020,P018,2025-01-18,7,14609,East
INV000425,C0487,P001,2025-02-14,11,51238,South
INV000426,C0010,P001,2023-08-20,8,37264,East
INV000427,C0160,P005,2024-01-28,4,10436,East
INV000428,C0086,P003,2023-11-02,2,9628,East
INV000429,C0234,P017,2024-06-20,20,68880,East
INV000430,C0223,P005,2024-05-16,11,28699,East
INV000431,C0385,P007,2025-04-11,6,20586,West
INV000432,C0010,P008,2025-01-14,8,24616,South
INV000433,C0109,P001,2024-05-31,19,88502,South
INV000434,C0064,P012,2024-01-20,2,8682,East
INV000435,C0395,P018,2023-02-19,20,41740,North
INV000436,C0339,P004,2023-02-19,1,2304,North
INV000437,C0214,P015,2023-05-07,13,35178,East
INV000438,C0243,P005,2024-12-12,7,18263,North
INV000439,C0155,P014,2024-11-09,4,15036,East
INV000440,C0319,P020,2024-03-04,5,19770,North
INV000441,C0262,P020,2023-10-17,4,15816,North
INV000442,C0402,P004,2023-07-23,16,36864,South
INV000443,C0399,P009,2023-07-26,17,54060,East
INV000444,C0361,P014,2023-06-14,10,37590,North
INV000445,C0281,P016,2024-12-05,7,15820,West
INV000446,C0170,P008,2023-01-14,1,3077,North
INV000447,C0465,P004,2024-11-16,19,43776,West
INV000448,C0077,P003,2023-03-18,17,81838,North
INV000449,C0464,P009,2024-04-12,8,25440,East
INV000450,C0136,P015,2023-04-13,2,5412,South
INV000451,C0448,P002,2024-01-04,10,15720,East
INV000452,C0219,P004,2025-05-21,4,9216,North
INV000453,C0005,P005,2023-12-03,6,15654,East
INV000454,C0458,P015,2023-10-02,20,54120,North
INV000455,C0191,P011,2023-04-27,6,13362,West
INV000456,C0205,P015,2025-05-05,9,24354,West
INV000457,C0354,P016,2024-10-26,14,31640,South
INV000458,C0058,P005,2025-05-14,2,5218,South
INV000459,C0054,P014,2024-05-09,19,71421,West
INV000460,C0093,P020,2025-03-08,13,51402,East
INV000461,C0314,P001,2024-05-09,5,23290,West
INV000462,C0058,P014,2023-02-17,15,56385,North
INV000463,C0134,P011,2024-12-22,1,2227,South
INV000464,C0490,P011,2024-06-19,17,37859,North
INV000465,C0222,P008,2023-12-21,16,49232,West
INV000466,C0077,P018,2023-02-25,20,41740,North
INV000467,C0330,P006,2025-05-19,17,68476,West
INV000468,C0437,P016,2023-03-18,6,13560,West
INV000469,C0165,P008,2023-10-12,11,33847,North
INV000470,C0260,P008,2024-10-20,18,55386,West
INV000471,C0207,P008,2024-04-15,3,9231,West
INV000472,C0411,P019,2023-04-01,15,50475,West
INV000473,C0229,P011,2024-05-24,4,8908,North
INV000474,C0053,P013,2023-02-06,14,35112,North
INV000475,C0423,P003,2024-09-25,20,96280,East
INV000476,C0456,P017,2023-07-31,18,61992,West
INV000477,C0487,P011,2025-04-25,12,26724,North
INV000478,C0419,P008,2023-12-06,15,46155,West
INV000479,C0367,P012,2023-04-27,15,65115,North
INV000480,C0389,P008,2023-12-16,1,3077,East
INV000481,C0425,P010,2024-06-18,18,70236,East
INV000482,C0360,P004,2023-06-18,2,4608,West
INV000483,C0072,P014,2023-09-18,4,15036,South
INV000484,C0097,P004,2023-08-09,13,29952,West
INV000485,C0423,P007,2023-04-21,11,37741,West
INV000486,C0024,P019,2025-03-01,4,13460,West
INV000487,C0235,P019,2023-05-18,17,57205,West
INV000488,C0003,P017,2024-07-20,2,6888,West
INV000489,C0430,P019,2024-06-04,16,53840,South
INV000490,C0355,P019,2025-01-18,6,20190,South
INV000491,C0054,P013,2024-09-12,20,50160,East
INV000492,C0259,P013,2024-09-15,14,35112,South
INV000493,C0141,P013,2023-10-29,11,27588,West
INV000494,C0413,P005,2024-02-27,5,13045,East
INV000495,C0432,P018,2024-12-29,11,22957,South
INV000496,C0103,P007,2025-01-01,20,68620,East
INV000497,C0352,P012,2024-12-28,5,21705,South
INV000498,C0258,P018,2024-12-28,11,22957,North
INV000499,C0390,P012,2024-05-06,18,78138,West
INV000500,C0346,P018,2025-06-17,10,20870,West
INV000501,C0414,P001,2023-04-20,17,79186,North
INV000502,C0196,P005,2024-11-17,2,5218,North
INV000503,C0103,P009,2023-10-21,6,19080,East
INV000504,C0075,P002,2023-07-28,10,15720,North
INV000505,C0184,P015,2024-09-22,4,10824,South
INV000506,C0381,P018,2023-09-01,13,27131,East
INV000507,C0355,P002,2024-02-01,13,20436,West
INV000508,C0490,P011,2023-02-25,18,40086,North
INV000509,C0381,P009,2024-09-27,7,22260,West
INV000510,C0425,P008,2025-02-12,12,36924,South
INV000511,C0398,P007,2024-04-04,10,34310,South
INV000512,C0350,P003,2023-06-27,6,28884,North
INV000513,C0194,P002,2023-10-13,14,22008,East
INV000514,C0067,P006,2025-05-16,19,76532,East
INV000515,C0003,P011,2024-12-27,15,33405,South
INV000516,C0021,P005,2024-09-03,11,28699,North
INV000517,C0397,P020,2024-05-17,10,39540,East
INV000518,C0038,P011,2023-08-14,17,37859,South
INV000519,C0267,P003,2023-06-13,17,81838,West
INV000520,C0279,P018,2023-04-05,13,27131,East
INV000521,C0114,P007,2023-12-06,11,37741,East
INV000522,C0151,P007,2024-06-27,20,68620,West
INV000523,C0288,P001,2024-11-15,4,18632,East
INV000524,C0229,P008,2024-09-28,20,61540,South
INV000525,C0491,P002,2024-01-26,11,17292,North
INV000526,C0198,P009,2025-01-11,18,57240,East
INV000527,C0013,P017,2024-06-10,12,41328,West
INV000528,C0250,P002,2024-10-29,10,15720,South
INV000529,C0165,P017,2023-04-09,3,10332,South
INV000530,C0498,P018,2023-01-08,18,37566,North
INV000531,C0108,P007,2025-05-05,14,48034,North
INV000532,C0106,P018,2024-10-24,14,29218,North
INV000533,C0383,P005,2024-04-15,1,2609,East
INV000534,C0020,P003,2023-02-25,3,14442,South
INV000535,C0407,P009,2023-03-14,18,57240,South
INV000536,C0467,P009,2024-02-02,14,44520,West
