ticket_id,customer_id,priority,status,created
T00162,C0222,High,In Progress,2025-01-09
T00163,C0153,High,In Progress,2025-03-25
T00164,C0270,Low,Open,2025-02-03
T00165,C0424,Medium,Closed,2025-02-11
T00166,C0150,Low,Open,2025-01-03
T00167,C0494,Low,In Progress,2025-02-01
T00168,C0208,Medium,Open,2025-05-28
T00169,C0198,Medium,Closed,2025-04-14
T00170,C0268,High,Open,2025-02-26
T00171,C0101,Medium,In Progress,2025-05-23
T00172,C0406,High,In Progress,2025-04-11
T00173,C0048,Low,Closed,2025-05-06
T00174,C0031,High,In Progress,2025-05-31
T00175,C0400,Medium,Open,2025-02-25
T00176,C0087,Medium,Closed,2025-04-23
T00177,C0341,Medium,Closed,2025-02-22
T00178,C0009,High,In Progress,2025-01-18
T00179,C0221,High,In Progress,2025-02-17
T00180,C0033,High,In Progress,2025-06-11
T00181,C0306,High,In Progress,2025-05-11
T00182,C0477,High,Open,2025-05-29
T00183,C0352,Medium,Closed,2025-06-06
T00184,C0010,Low,Closed,2025-06-04
T00185,C0324,High,Closed,2025-01-04
T00186,C0167,Low,Closed,2025-02-21
T00187,C0017,High,Closed,2025-06-12
T00188,C0393,Low,Closed,2025-06-06
T00189,C0332,Medium,In Progress,2025-02-14
T00190,C0444,High,Closed,2025-04-21
T00191,C0489,Medium,Open,2025-05-20
T00192,C0361,Medium,Open,2025-02-27
T00193,C0195,Medium,In Progress,2025-06-30
T00194,C0452,Medium,Closed,2025-02-22
T00195,C0178,Medium,In Progress,2025-01-07
T00196,C0158,Medium,Open,2025-06-23
T00197,C0384,Low,In Progress,2025-02-08
T00198,C0373,Low,Open,2025-03-29
T00199,C0041,Medium,Open,2025-06-28
T00200,C0499,Medium,In Progress,2025-05-07
T00201,C0322,High,Open,2025-01-22
T00202,C0074,Medium,Closed,2025-04-26
T00203,C0128,High,Open,2025-04-15
T00204,C0147,Low,Open,2025-01-12
T00205,C0192,Low,Open,2025-02-23
T00206,C0086,Medium,Closed,2025-06-19
T00207,C0478,Low,Closed,2025-04-06
T00208,C0092,Medium,Open,2025-02-05
T00209,C0321,Low,Closed,2025-02-26
T00210,C0074,Low,Closed,2025-03-31
T00211,C0264,Medium,Closed,2025-06-16
T00212,C0201,High,In Progress,2025-06-12
T00213,C0300,High,Open,2025-05-26
T00214,C0191,High,Open,2025-03-17
T00215,C0178,High,Closed,2025-01-25
T00216,C0093,High,In Progress,2025-05-21
T00217,C0476,High,In Progress,2025-02-20
T00218,C0411,Low,Closed,2025-02-26
T00219,C0274,Medium,In Progress,2025-05-07
T00220,C0339,High,In Progress,2025-05-05
T00221,C0378,High,Open,2025-03-19
T00222,C0407,Medium,Open,2025-04-17
T00223,C0370,Medium,Open,2025-01-07
T00224,C0072,High,Open,2025-04-01
T00225,C0247,Medium,In Progress,2025-05-17
T00226,C0068,High,Closed,2025-03-14
T00227,C0402,High,In Progress,2025-01-01
T00228,C0025,Medium,Open,2025-04-20
T00229,C0422,Medium,Open,2025-06-02
T00230,C0318,Medium,Open,2025-05-20
T00231,C0060,High,Open,2025-03-06
T00232,C0224,Medium,In Progress,2025-03-06
T00233,C0111,Low,In Progress,2025-01-23
T00234,C0273,Medium,In Progress,2025-06-26
T00235,C0462,Low,Open,2025-04-06
T00236,C0211,Medium,In Progress,2025-01-22
T00237,C0392,High,In Progress,2025-01-25
T00238,C0123,Medium,Closed,2025-03-31
T00239,C0056,Low,Open,2025-04-05
T00240,C0374,Medium,Closed,2025-05-12
T00241,C0445,Low,Open,2025-02-10
T00242,C0135,High,Open,2025-05-27
T00243,C0134,Low,Closed,2025-03-31
T00244,C0402,Medium,Closed,2025-02-22
T00245,C0427,Low,Closed,2025-03-08
T00246,C0367,Low,Closed,2025-04-01
T00247,C0017,Medium,In Progress,2025-01-21
T00248,C0255,Medium,Open,2025-06-14
T00249,C0398,Medium,Closed,2025-03-08
T00250,C0367,Medium,In Progress,2025-05-20
T00251,C0287,Medium,Closed,2025-01-19
T00252,C0055,High,Open,2025-04-27
T00253,C0296,Medium,In Progress,2025-06-07
T00254,C0083,Low,Closed,2025-06-01
T00255,C0084,High,In Progress,2025-02-09
T00256,C0299,High,In Progress,2025-04-02
T00257,C0312,High,Open,2025-05-30
T00258,C0230,Low,Open,2025-01-18
T00259,C0002,Low,Closed,2025-02-21
T00260,C0057,Medium,Closed,2025-06-13
T00261,C0464,High,Closed,2025-02-07
T00262,C0317,High,Closed,2025-06-06
T00263,C0039,Medium,In Progress,2025-04-15
T00264,C0214,High,Closed,2025-06-06
T00265,C0044,Medium,Open,2025-03-22
T00266,C0328,Medium,In Progress,2025-04-21
T00267,C0104,High,In Progress,2025-02-06
T00268,C0112,Medium,Open,2025-04-13
T00269,C0485,Medium,Open,2025-02-19
T00270,C0043,Low,Closed,2025-01-14
T00271,C0053,High,Closed,2025-04-03
T00272,C0433,Medium,Open,2025-06-10
T00273,C0417,Medium,In Progress,2025-06-12
T00274,C0091,High,In Progress,2025-02-26
T00275,C0356,Medium,In Progress,2025-06-26
T00276,C0266,Low,Open,2025-04-02
T00277,C0025,Medium,Closed,2025-06-14
T00278,C0033,Low,Open,2025-01-17
T00279,C0060,Low,Closed,2025-01-29
T00280,C0457,Medium,In Progress,2025-06-28
T00281,C0162,High,In Progress,2025-05-22
T00282,C0224,High,Open,2025-04-17
T00283,C0017,Low,In Progress,2025-02-14
T00284,C0157,Medium,In Progress,2025-03-21
T00285,C0012,Low,Closed,2025-06-03
T00286,C0176,Medium,Open,2025-02-25
T00287,C0475,Medium,Open,2025-02-22
T00288,C0119,High,In Progress,2025-04-16
T00289,C0408,High,In Progress,2025-01-26
T00290,C0422,Low,Open,2025-03-05
T00291,C0390,Medium,In Progress,2025-03-10
T00292,C0077,Medium,In Progress,2025-06-29
T00293,C0349,Low,Closed,2025-01-08
T00294,C0387,Low,Closed,2025-06-08
T00295,C0310,Medium,Closed,2025-04-09
T00296,C0157,High,Open,2025-03-05
T00297,C0473,Low,In Progress,2025-03-18
T00298,C0355,Medium,Open,2025-01-11
T00299,C0343,High,In Progress,2025-02-18
T00300,C0131,Medium,Closed,2025-02-24
T00301,C0154,Low,In Progress,2025-03-16
T00302,C0204,High,In Progress,2025-05-17
T00303,C0460,Low,Closed,2025-04-05
T00304,C0040,High,Open,2025-05-26
T00305,C0008,Medium,In Progress,2025-04-28
T00306,C0054,High,In Progress,2025-05-28
T00307,C0219,Low,Open,2025-05-24
T00308,C0175,High,Closed,2025-01-07
T00309,C0193,High,Open,2025-04-23
T00310,C0229,Low,In Progress,2025-06-08
T00311,C0392,Medium,Open,2025-01-08
T00312,C0299,Low,Closed,2025-01-26
T00313,C0220,High,Open,2025-02-16
T00314,C0389,Medium,Open,2025-05-22
T00315,C0422,Medium,In Progress,2025-03-19
T00316,C0207,Medium,Closed,2025-04-17
T00317,C0008,Low,In Progress,2025-06-21
T00318,C0059,Medium,Closed,2025-05-29
T00319,C0168,High,Open,2025-01-13
T00320,C0237,Low,In Progress,2025-06-24
T00321,C0408,High,In Progress,2025-03-17
T00322,C0364,Medium,Open,2025-03-16
T00323,C0037,High,Open,2025-05-29
T00324,C0075,High,In Progress,2025-06-30
T00325,C0467,Low,In Progress,2025-05-07
T00326,C0201,Low,Open,2025-06-03
T00327,C0268,High,In Progress,2025-04-30
T00328,C0009,High,Open,2025-02-28
T00329,C0110,Low,Open,2025-05-07
T00330,C0014,High,In Progress,2025-05-10
T00331,C0497,Low,Closed,2025-04-25
T00332,C0463,Low,In Progress,2025-01-11
T00333,C0258,High,Open,2025-04-10
T00334,C0149,Low,Open,2025-03-16
T00335,C0040,Medium,In Progress,2025-06-16
T00336,C0386,Medium,Open,2025-04-19
T00337,C0119,High,Open,2025-03-12
T00338,C0491,High,Closed,2025-05-09
T00339,C0204,High,Closed,2025-03-01
T00340,C0249,Low,Open,2025-04-24
T00341,C0362,High,In Progress,2025-02-06
T00342,C0365,High,In Progress,2025-03-28
T00343,C0273,High,Open,2025-04-15
T00344,C0153,Medium,Closed,2025-02-08
T00345,C0129,Medium,Closed,2025-02-08
T00346,C0281,Low,Open,2025-04-04
T00347,C0178,High,Closed,2025-06-30
T00348,C0478,Medium,Closed,2025-02-23
T00349,C0277,High,Closed,2025-03-07
T00350,C0381,Low,Open,2025-02-14
T00351,C0401,High,In Progress,2025-03-06
T00352,C0064,Low,Open,2025-02-17
T00353,C0361,High,In Progress,2025-02-22
T00354,C0180,Medium,In Progress,2025-04-26
T00355,C0110,Medium,Closed,2025-02-10
T00356,C0409,High,Closed,2025-02-26
T00357,C0304,High,Closed,2025-01-17
T00358,C0282,High,Closed,2025-01-18
T00359,C0335,High,Closed,2025-05-14
T00360,C0490,Medium,Open,2025-04-04
T00361,C0006,High,In Progress,2025-06-18
T00362,C0166,Low,In Progress,2025-01-15
T00363,C0289,Low,Closed,2025-05-30
T00364,C0056,Low,Open,2025-06-21
T00365,C0072,Medium,In Progress,2025-02-19
T00366,C0128,Medium,Closed,2025-02-20
T00367,C0283,High,Closed,2025-04-26
T00368,C0021,Low,Open,2025-03-29
T00369,C0424,Low,Open,2025-06-08
T00370,C0025,Medium,Closed,2025-02-11
T00371,C0468,Medium,In Progress,2025-03-09
T00372,C0259,Medium,Open,2025-05-02
T00373,C0347,Low,Closed,2025-01-07
T00374,C0264,High,In Progress,2025-01-16
T00375,C0291,High,Closed,2025-03-14
T00376,C0139,Medium,In Progress,2025-01-19
T00377,C0086,Medium,In Progress,2025-05-17
T00378,C0366,Low,Open,2025-03-07
T00379,C0190,High,In Progress,2025-01-07
T00380,C0386,High,Open,2025-06-13
T00381,C0309,High,Open,2025-03-31
T00382,C0124,Medium,Open,2025-01-23
T00383,C0026,Low,In Progress,2025-01-12
T00384,C0462,High,Closed,2025-04-14
T00385,C0214,Low,In Progress,2025-01-17
T00386,C0338,High,Open,2025-03-23
T00387,C0362,High,Open,2025-04-01
T00388,C0239,High,Open,2025-05-22
T00389,C0030,Medium,Closed,2025-05-25
T00390,C0413,Medium,Closed,2025-05-07
T00391,C0288,High,In Progress,2025-04-02
T00392,C0316,Low,Open,2025-01-19
T00393,C0323,Medium,Closed,2025-05-22
T00394,C0409,Low,In Progress,2025-04-11
T00395,C0231,Medium,Open,2025-06-21
T00396,C0478,Low,In Progress,2025-05-16
T00397,C0202,Low,In Progress,2025-04-28
T00398,C0064,Low,Open,2025-01-20
T00399,C0003,High,In Progress,2025-04-08
T00400,C0466,High,Open,2025-05-16
T00401,C0001,Low,In Progress,2025-03-15
T00402,C0124,High,Closed,2025-04-20
T00403,C0021,Low,Open,2025-02-10
T00404,C0067,Medium,Closed,2025-06-09
T00405,C0057,Low,Closed,2025-02-09
T00406,C0129,Medium,In Progress,2025-03-30
T00407,C0129,Medium,Closed,2025-06-18
T00408,C0474,High,Open,2025-05-19
T00409,C0422,High,In Progress,2025-02-20
T00410,C0413,High,Open,2025-01-09
T00411,C0262,Medium,Open,2025-06-14
T00412,C0298,Low,Closed,2025-03-28
T00413,C0399,Medium,In Progress,2025-03-16
T00414,C0304,Low,In Progress,2025-03-04
T00415,C0355,Medium,Closed,2025-05-22
T00416,C0196,High,Closed,2025-06-19
T00417,C0488,Medium,In Progress,2025-02-28
T00418,C0200,Low,Open,2025-01-02
T00419,C0274,High,Open,2025-05-01
T00420,C0484,Medium,Closed,2025-01-04
T00421,C0478,Medium,In Progress,2025-06-11
T00422,C0287,Low,In Progress,2025-05-21
T00423,C0496,Medium,In Progress,2025-06-20
T00424,C0160,Medium,In Progress,2025-03-03
T00425,C0389,High,Closed,2025-03-17
T00426,C0121,High,In Progress,2025-06-13
T00427,C0195,Low,Open,2025-04-01
T00428,C0412,High,Open,2025-02-16
T00429,C0106,Low,Closed,2025-02-25
T00430,C0126,Low,In Progress,2025-04-16
T00431,C0090,Low,In Progress,2025-06-18
T00432,C0182,High,In Progress,2025-06-24
T00433,C0369,High,Open,2025-06-28
T00434,C0117,Low,In Progress,2025-02-27
T00435,C0114,High,Closed,2025-01-20
T00436,C0093,Low,In Progress,2025-03-21
T00437,C0388,Medium,Open,2025-05-15
T00438,C0407,Medium,Closed,2025-01-20
T00439,C0294,Medium,In Progress,2025-03-05
T00440,C0384,High,Closed,2025-02-07
T00441,C0109,High,In Progress,2025-04-18
T00442,C0015,High,Closed,2025-02-16
T00443,C0298,High,Closed,2025-01-09
T00444,C0077,Low,In Progress,2025-04-04
T00445,C0030,Medium,Open,2025-03-13
T00446,C0384,Low,Closed,2025-03-22
T00447,C0163,High,Closed,2025-03-21
T00448,C0180,High,Closed,2025-03-23
T00449,C0032,Medium,Closed,2025-01-25
T00450,C0461,High,Closed,2025-04-23
T00451,C0374,Medium,In Progress,2025-04-13
T00452,C0414,Medium,Closed,2025-03-07
T00453,C0305,Medium,In Progress,2025-04-04
T00454,C0463,Low,Open,2025-06-17
T00455,C0280,High,In Progress,2025-02-11
T00456,C0425,Medium,Closed,2025-03-24
T00457,C0073,Low,Closed,2025-04-27
T00458,C0185,Low,In Progress,2025-01-13
T00459,C0191,Medium,Open,2025-03-16
T00460,C0457,Low,Closed,2025-06-28
T00461,C0016,Low,Open,2025-05-12
T00462,C0094,High,Open,2025-03-03
T00463,C0175,High,In Progress,2025-01-28
T00464,C0096,Low,In Progress,2025-05-20
T00465,C0336,Medium,Open,2025-05-10
T00466,C0457,High,Open,2025-02-15
T00467,C0201,Low,Closed,2025-03-09
T00468,C0346,Medium,Closed,2025-04-07
T00469,C0335,Medium,In Progress,2025-01-09
T00470,C0478,High,Open,2025-06-15
T00471,C0331,High,Open,2025-02-05
T00472,C0211,Low,In Progress,2025-03-08
T00473,C0314,High,Open,2025-05-11
T00474,C0226,Medium,Open,2025-01-09
T00475,C0027,Medium,Closed,2025-03-17
T00476,C0154,High,Closed,2025-06-24
T00477,C0271,Low,Open,2025-03-23
T00478,C0316,Medium,In Progress,2025-01-26
T00479,C0209,Medium,Closed,2025-01-05
T00480,C0008,High,Closed,2025-04-07
T00481,C0364,Medium,In Progress,2025-02-27
T00482,C0264,Medium,Open,2025-02-23
T00483,C0340,Low,Closed,2025-05-09
T00484,C0042,High,In Progress,2025-05-12
T00485,C0007,Medium,In Progress,2025-05-31
T00486,C0359,Low,In Progress,2025-05-02
T00487,C0480,Low,In Progress,2025-02-25
T00488,C0404,Medium,Open,2025-02-04
T00489,C0203,Low,In Progress,2025-02-28
T00490,C0345,Low,Open,2025-03-05
T00491,C0452,Low,In Progress,2025-03-13
T00492,C0129,Low,Open,2025-02-16
T00493,C0173,Low,Closed,2025-02-09
T00494,C0471,High,Closed,2025-05-04
T00495,C0412,High,In Progress,2025-06-28
T00496,C0466,High,In Progress,2025-02-26
T00497,C0127,Medium,Open,2025-04-24
T00498,C0295,Low,In Progress,2025-02-01
T00499,C0273,Low,Closed,2025-03-11
T00500,C0289,High,In Progress,2025-05-28
T00501,C0314,Medium,In Progress,2025-03-04
T00502,C0196,Low,In Progress,2025-04-06
T00503,C0368,Medium,Open,2025-06-05
T00504,C0439,Medium,Open,2025-02-25
T00505,C0363,Low,In Progress,2025-06-09
T00506,C0324,High,Open,2025-02-26
T00507,C0435,Medium,Open,2025-02-26
T00508,C0129,High,In Progress,2025-02-02
T00509,C0404,Low,Closed,2025-06-29
T00510,C0228,Low,In Progress,2025-06-30
T00511,C0124,High,Closed,2025-01-17
T00512,C0098,Medium,Open,2025-03-20
T00513,C0118,Low,In Progress,2025-04-22
T00514,C0360,Medium,Closed,2025-01-26
T00515,C0047,Medium,Closed,2025-04-09
T00516,C0170,Medium,In Progress,2025-03-02
T00517,C0229,Low,In Progress,2025-05-22
T00518,C0105,High,Open,2025-04-21
T00519,C0079,High,Open,2025-03-08
T00520,C0101,Medium,Closed,2025-04-03
T00521,C0026,Medium,Open,2025-06-17
T00522,C0301,High,Open,2025-05-02
T00523,C0303,High,Closed,2025-04-12
T00524,C0072,Low,Open,2025-01-29
T00525,C0401,Low,In Progress,2025-06-09
T00526,C0384,High,Closed,2025-06-18
T00527,C0391,Medium,Open,2025-03-08
T00528,C0063,High,Open,2025-04-20
T00529,C0437,High,Closed,2025-06-24
T00530,C0277,Medium,Open,2025-01-04
T00531,C0412,High,Open,2025-06-24
T00532,C0044,Medium,Closed,2025-02-19
T00533,C0017,Low,In Progress,2025-02-03
T00534,C0414,Low,Closed,2025-05-11
T00535,C0182,Low,In Progress,2025-06-08
T00536,C0392,Low,In Progress,2025-05-27
T00537,C0459,Low,In Progress,2025-03-06
T00538,C0425,Medium,Open,2025-06-21
T00539,C0367,Low,Closed,2025-01-06
T00540,C0404,Low,Open,2025-02-19
T00541,C0479,High,Closed,2025-01-31
T00542,C0165,Medium,Closed,2025-04-18
T00543,C0219,High,In Progress,2025-06-17
T00544,C0179,High,Closed,2025-04-15
T00545,C0369,High,Closed,2025-02-06
T00546,C0073,Low,Closed,2025-05-06
T00547,C0126,Low,Closed,2025-03-30
T00548,C0134,Low,In Progress,2025-03-06
T00549,C0170,Medium,Open,2025-05-21
T00550,C0242,High,Open,2025-03-15
T00551,C0208,High,Open,2025-03-29
T00552,C0349,Low,Open,2025-04-03
T00553,C0289,Medium,In Progress,2025-02-22
T00554,C0365,High,Closed,2025-05-22
T00555,C0111,High,Closed,2025-05-14
T00556,C0402,High,Closed,2025-06-29
T00557,C0474,Medium,Closed,2025-04-13
T00558,C0063,Low,In Progress,2025-06-19
T00559,C0011,Medium,In Progress,2025-06-25
T00560,C0076,Medium,Open,2025-01-11
T00561,C0308,High,In Progress,2025-04-09
T00562,C0070,Medium,Closed,2025-05-28
T00563,C0372,Medium,Closed,2025-02-17
T00564,C0330,High,In Progress,2025-03-22
T00565,C0377,Medium,Open,2025-03-15
T00566,C0141,Medium,Closed,2025-04-29
T00567,C0156,Low,In Progress,2025-02-26
T00568,C0170,High,Open,2025-04-22
T00569,C0450,Low,In Progress,2025-02-22
T00570,C0309,High,Closed,2025-03-08
T00571,C0353,Low,Closed,2025-05-24
T00572,C0284,High,In Progress,2025-06-29
T00573,C0174,High,In Progress,2025-06-20
T00574,C0217,Low,In Progress,2025-05-22
T00575,C0107,Medium,Closed,2025-04-12
T00576,C0433,Low,In Progress,2025-02-13
T00577,C0079,Medium,In Progress,2025-06-25
T00578,C0320,Low,Closed,2025-04-09
T00579,C0409,Low,In Progress,2025-04-07
T00580,C0480,High,In Progress,2025-02-08
T00581,C0477,Low,Closed,2025-06-07
T00582,C0140,Medium,Closed,2025-04-17
T00583,C0184,Low,In Progress,2025-03-19
T00584,C0215,Medium,Open,2025-01-03
T00585,C0498,Medium,In Progress,2025-06-03
T00586,C0006,Low,Open,2025-05-26
T00587,C0009,Low,In Progress,2025-02-06
T00588,C0452,Medium,Closed,2025-05-11
T00589,C0029,High,Open,2025-05-03
T00590,C0295,High,Open,2025-01-05
T00591,C0122,Medium,In Progress,2025-06-25
T00592,C0042,Medium,In Progress,2025-06-22
T00593,C0334,Low,Closed,2025-04-23
T00594,C0129,High,In Progress,2025-06-12
T00595,C0021,High,In Progress,2025-02-16
T00596,C0283,Low,Open,2025-04-12
T00597,C0337,Low,Open,2025-01-20
T00598,C0410,Medium,Open,2025-04-09
T00599,C0331,Medium,In Progress,2025-01-08
T00600,C0026,Medium,Closed,2025-06-13
T00601,C0216,Medium,Closed,2025-01-01
T00602,C0361,High,Closed,2025-01-03
T00603,C0439,Low,Open,2025-02-19
T00604,C0225,Medium,Closed,2025-06-21
T00605,C0057,High,In Progress,2025-01-14
T00606,C0265,Medium,Open,2025-02-23
T00607,C0490,Low,Open,2025-03-12
T00608,C0192,Medium,In Progress,2025-04-20
T00609,C0407,Medium,Closed,2025-06-29
T00610,C0272,Medium,In Progress,2025-01-02
T00611,C0316,Medium,Closed,2025-02-12
T00612,C0115,Medium,Closed,2025-03-22
T00613,C0365,Low,Closed,2025-03-10
T00614,C0449,Medium,Open,2025-04-08
T00615,C0319,Low,Closed,2025-03-22
T00616,C0114,High,Closed,2025-01-22
T00617,C0470,Medium,Open,2025-06-02
T00618,C0388,Low,Closed,2025-05-06
T00619,C0484,High,Closed,2025-03-30
T00620,C0414,High,Closed,2025-04-26
T00621,C0396,High,Open,2025-01-23
T00622,C0097,High,Open,2025-04-24
T00623,C0449,High,In Progress,2025-01-01
T00624,C0322,Low,Closed,2025-06-24
T00625,C0316,Low,Open,2025-02-23
T00626,C0441,Medium,Open,2025-06-30
T00627,C0142,Low,Open,2025-03-04
T00628,C0044,Medium,In Progress,2025-04-08
T00629,C0299,High,Closed,2025-02-07
T00630,C0331,Medium,Open,2025-03-29
T00631,C0235,Medium,In Progress,2025-04-14
T00632,C0041,Medium,In Progress,2025-06-04
T00633,C0156,Medium,Open,2025-02-09
